url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://uet.vnu.edu.vn/dieu-chinh-hoc-phi-sau-dai-hoc-giam-5/,dieu-chinh-hoc-phi-sau-dai-hoc-giam-5,"Điều chỉnh học phí sau đại học, giảm 5% - Trường Đại học Công Nghệ - Đại học Quốc Gia Hà Nội",student,sau-dai-hoc,tuition-fees,vi,not-stated,public-source
https://ussh.vnu.edu.vn/vi/gioi-thieu/ba-cong-khai/bao-cao-lo-trinh-thu-hoc-phi-cac-he-nam-hoc-2026-2027-19718.html,bao-cao-lo-trinh-thu-hoc-phi-cac-he-nam-hoc-2026-2027-19718,Báo cáo lộ trình thu học phí các hệ năm học 2026 - 2027,staff,ke-hoach-tai-chinh,tuition-fees,vi,not-stated,public-source
https://uet.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025,dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025,student,dao-tao,tuition-fees,vi,not-stated,public-source
https://uet.edu.vn/gia-han-thoi-gian-nop-hoc-phi-trong-hkii-nam-hoc-2025-2026/,gia-han-thoi-gian-nop-hoc-phi-trong-hkii-nam-hoc-2025-2026,gia-han-thoi-gian-nop-hoc-phi-trong-hkii-nam-hoc-2025-2026,student,dao-tao,tuition-fees,vi,not-stated,public-source
https://uet.edu.vn/hoan-tra-hoc-phi-cho-sinh-vien-thuoc-chuong-trinh-chat-luong-cao-theo-thong-tu-23-2014-tt-bgddt-tot-nghiep-dot-xet-thang-03-nam-2026/,hoan-tra-hoc-phi-cho-sinh-vien-thuoc-chuong-trinh-chat-luong-cao-theo-thong-tu-23-2014-tt-bgddt-tot-nghiep-dot-xet-thang-03-nam-2026,hoan-tra-hoc-phi-cho-sinh-vien-thuoc-chuong-trinh-chat-luong-cao-theo-thong-tu-23-2014-tt-bgddt-tot-nghiep-dot-xet-thang-03-nam-2026,student,dao-tao,tuition-fees,vi,not-stated,public-source
https://fit.neu.edu.vn/post/hoc-phi-neu-nam-hoc-2026-2027-theo-quyet-dinh-985,neu-tuition-decision-985-2026-2027,neu-tuition-decision-985-2026-2027,student,dao-tao,tuition-fees,vi,not-stated,public-source
https://fit.neu.edu.vn/post/neu-tuition-fees-2025-2026,neu-tuition-fees-2025-2026,neu-tuition-fees-2025-2026,student,dao-tao,tuition-fees,vi,not-stated,public-source
https://usth.edu.vn/tb-ve-viec-thu-hoc-phi-hoc-ky-ii-nam-hoc-2025-2026-chuong-trinh-dao-tao-trinh-do-dai-hoc-29249/,tb-ve-viec-thu-hoc-phi-hoc-ky-ii-nam-hoc-2025-2026-chuong-trinh-dao-tao-trinh-do-dai-hoc-29249,tb-ve-viec-thu-hoc-phi-hoc-ky-ii-nam-hoc-2025-2026-chuong-trinh-dao-tao-trinh-do-dai-hoc-29249,student,dao-tao,tuition-fees,vi,not-stated,public-source
https://usth.edu.vn/thong-bao-quy-dinh-muc-hoc-phi-chinh-thuc-ap-dung-cho-nam-hoc-2026-2027-33107/,thong-bao-quy-dinh-muc-hoc-phi-chinh-thuc-ap-dung-cho-nam-hoc-2026-2027-33107,thong-bao-quy-dinh-muc-hoc-phi-chinh-thuc-ap-dung-cho-nam-hoc-2026-2027-33107,student,dao-tao,tuition-fees,vi,not-stated,public-source
