doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
dieu-chinh-hoc-phi-sau-dai-hoc-giam-5,data\university\dieu-chinh-hoc-phi-sau-dai-hoc-giam-5.md,"Điều chỉnh học phí sau đại học, giảm 5% - Trường Đại học Công Nghệ - Đại học Quốc Gia Hà Nội",https://uet.vnu.edu.vn/dieu-chinh-hoc-phi-sau-dai-hoc-giam-5/,2026-09-19,not-stated,public-source
bao-cao-lo-trinh-thu-hoc-phi-cac-he-nam-hoc-2026-2027-19718,data\university\bao-cao-lo-trinh-thu-hoc-phi-cac-he-nam-hoc-2026-2027-19718.md,Báo cáo lộ trình thu học phí các hệ năm học 2026 - 2027,https://ussh.vnu.edu.vn/vi/gioi-thieu/ba-cong-khai/bao-cao-lo-trinh-thu-hoc-phi-cac-he-nam-hoc-2026-2027-19718.html,2026-09-19,not-stated,public-source
dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025,data\university\dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025.md,dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025,https://uet.edu.vn/dinh-muc-hoc-phi-dao-tao-dai-hoc-nam-hoc-2024-2025/,2026-09-19,not-stated,public-source
gia-han-thoi-gian-nop-hoc-phi-trong-hkii-nam-hoc-2025-2026,data\university\gia-han-thoi-gian-nop-hoc-phi-trong-hkii-nam-hoc-2025-2026.md,gia-han-thoi-gian-nop-hoc-phi-trong-hkii-nam-hoc-2025-2026,https://uet.edu.vn/gia-han-thoi-gian-nop-hoc-phi-trong-hkii-nam-hoc-2025-2026/,2026-09-19,not-stated,public-source
hoan-tra-hoc-phi-cho-sinh-vien-thuoc-chuong-trinh-chat-luong-cao-theo-thong-tu-23-2014-tt-bgddt-tot-nghiep-dot-xet-thang-03-nam-2026,data\university\hoan-tra-hoc-phi-cho-sinh-vien-thuoc-chuong-trinh-chat-luong-cao-theo-thong-tu-23-2014-tt-bgddt-tot-nghiep-dot-xet-thang-03-nam-2026.md,hoan-tra-hoc-phi-cho-sinh-vien-thuoc-chuong-trinh-chat-luong-cao-theo-thong-tu-23-2014-tt-bgddt-tot-nghiep-dot-xet-thang-03-nam-2026,https://uet.edu.vn/hoan-tra-hoc-phi-cho-sinh-vien-thuoc-chuong-trinh-chat-luong-cao-theo-thong-tu-23-2014-tt-bgddt-tot-nghiep-dot-xet-thang-03-nam-2026/,2026-09-19,not-stated,public-source
neu-tuition-decision-985-2026-2027,data\university\neu-tuition-decision-985-2026-2027.md,neu-tuition-decision-985-2026-2027,https://fit.neu.edu.vn/post/hoc-phi-neu-nam-hoc-2026-2027-theo-quyet-dinh-985,2026-09-19,not-stated,public-source
neu-tuition-fees-2025-2026,data\university\neu-tuition-fees-2025-2026.md,neu-tuition-fees-2025-2026,https://fit.neu.edu.vn/post/neu-tuition-fees-2025-2026,2026-09-19,not-stated,public-source
tb-ve-viec-thu-hoc-phi-hoc-ky-ii-nam-hoc-2025-2026-chuong-trinh-dao-tao-trinh-do-dai-hoc-29249,data\university\tb-ve-viec-thu-hoc-phi-hoc-ky-ii-nam-hoc-2025-2026-chuong-trinh-dao-tao-trinh-do-dai-hoc-29249.md,tb-ve-viec-thu-hoc-phi-hoc-ky-ii-nam-hoc-2025-2026-chuong-trinh-dao-tao-trinh-do-dai-hoc-29249,https://usth.edu.vn/tb-ve-viec-thu-hoc-phi-hoc-ky-ii-nam-hoc-2025-2026-chuong-trinh-dao-tao-trinh-do-dai-hoc-29249/,2026-09-19,not-stated,public-source
thong-bao-quy-dinh-muc-hoc-phi-chinh-thuc-ap-dung-cho-nam-hoc-2026-2027-33107,data\university\thong-bao-quy-dinh-muc-hoc-phi-chinh-thuc-ap-dung-cho-nam-hoc-2026-2027-33107.md,thong-bao-quy-dinh-muc-hoc-phi-chinh-thuc-ap-dung-cho-nam-hoc-2026-2027-33107,https://usth.edu.vn/thong-bao-quy-dinh-muc-hoc-phi-chinh-thuc-ap-dung-cho-nam-hoc-2026-2027-33107/,2026-09-20,not-stated,public-source
